Position,Driver Number,Driver,Driver Abbreviation,Car,Q1,Q2,Q3,Laps
1,16,Charles Leclerc,LEC,Ferrari,1:20.126,1:19.553,1:19.307,18
2,44,Lewis Hamilton,HAM,Mercedes,1:20.272,1:19.464,1:19.346,16
3,77,Valtteri Bottas,BOT,Mercedes,1:20.156,1:20.018,1:19.354,17
4,5,Sebastian Vettel,VET,Ferrari,1:20.378,1:19.715,1:19.457,17
5,3,Daniel Ricciardo,RIC,Renault,1:20.374,1:19.833,1:19.839,13
6,27,Nico Hulkenberg,HUL,Renault,1:20.155,1:20.275,1:20.049,14
7,55,Carlos Sainz,SAI,McLaren Renault,1:20.413,1:20.202,1:20.455,20
8,23,Alexander Albon,ALB,Red Bull Racing Honda,1:20.382,1:20.021,DNF,15
9,18,Lance Stroll,STR,Racing Point BWT Mercedes,1:20.643,1:20.498,DNF,19
10,7,Kimi Räikkönen,RAI,Alfa Romeo Racing Ferrari,1:20.634,1:20.515,DNF,16
11,99,Antonio Giovinazzi,GIO,Alfa Romeo Racing Ferrari,1:20.657,1:20.517,DNQ,15
12,20,Kevin Magnussen,MAG,Haas Ferrari,1:20.616,1:20.615,DNQ,14
13,26,Daniil Kvyat,KVY,Scuderia Toro Rosso Honda,1:20.723,1:20.630,DNQ,17
14,4,Lando Norris,NOR,McLaren Renault,1:20.646,1:21.068,DNQ,15
15,10,Pierre Gasly,GAS,Scuderia Toro Rosso Honda,1:20.508,1:21.125,DNQ,15
16,8,Romain Grosjean,GRO,Haas Ferrari,1:20.784,DNQ,DNQ,8
17,11,Sergio Perez,PER,Racing Point BWT Mercedes,1:21.291,DNQ,DNQ,6
18,63,George Russell,RUS,Williams Mercedes,1:21.800,DNQ,DNQ,8
19,88,Robert Kubica,KUB,Williams Mercedes,1:22.356,DNQ,DNQ,9
NC,33,Max Verstappen,VER,Red Bull Racing Honda,DNF,DNQ,DNQ,3
